session_id,time_seconds,percent,angle
146,0.0,0.0,5.5
146,0.095436,1.0,5.19245
146,0.190872,2.0,5.2249
146,0.286307,3.0,7.415972
146,0.381743,4.0,12.795584
146,0.477179,5.0,30.107206
146,0.572615,6.0,53.41591
146,0.66805,7.0,78.614235
146,0.763486,8.0,85.679943
146,0.858922,9.0,80.983228
146,0.954358,10.0,79.28225
146,1.049793,11.0,80.208454
146,1.145229,12.0,76.355363
146,1.240665,13.0,62.728592
146,1.336101,14.0,50.953386
146,1.431537,15.0,35.772
146,1.526972,16.0,23.742924
146,1.622408,17.0,18.8243
146,1.717844,18.0,19.859034
146,1.81328,19.0,26.10222
146,1.908715,20.0,45.998595
146,2.004151,21.0,76.028635
146,2.099587,22.0,88.250902
146,2.195023,23.0,85.024949
146,2.290458,24.0,83.968285
146,2.385894,25.0,82.9023
146,2.48133,26.0,73.670417
146,2.576766,27.0,59.28487
146,2.672202,28.0,41.711707
146,2.767637,29.0,28.213073
146,2.863073,30.0,18.750331
146,2.958509,31.0,16.204088
146,3.053945,32.0,26.451792
146,3.14938,33.0,43.984684
146,3.244816,34.0,82.926435
146,3.340252,35.0,93.027143
146,3.435688,36.0,87.657201
146,3.531123,37.0,88.744274
146,3.626559,38.0,87.563932
146,3.721995,39.0,69.794634
146,3.817431,40.0,46.098235
146,3.912867,41.0,31.152132
146,4.008302,42.0,19.325236
146,4.103738,43.0,18.642674
146,4.199174,44.0,20.837922
146,4.29461,45.0,29.39348
146,4.390045,46.0,68.962121
146,4.485481,47.0,86.985267
146,4.580917,48.0,90.891866
146,4.676353,49.0,90.28425
146,4.771789,50.0,89.7975
146,4.867224,51.0,87.784388
146,4.96266,52.0,74.261353
146,5.058096,53.0,54.558593
146,5.153532,54.0,39.659768
146,5.248967,55.0,22.663875
146,5.344403,56.0,20.277136
146,5.439839,57.0,24.778147
146,5.535275,58.0,36.257501
146,5.63071,59.0,65.269168
146,5.726146,60.0,86.159778
146,5.821582,61.0,102.699089
146,5.917018,62.0,93.069898
146,6.012454,63.0,95.75341
146,6.107889,64.0,94.029957
146,6.203325,65.0,73.53125
146,6.298761,66.0,59.695986
146,6.394197,67.0,38.599832
146,6.489632,68.0,27.512163
146,6.585068,69.0,24.69071
146,6.680504,70.0,27.100125
146,6.77594,71.0,39.411485
146,6.871375,72.0,63.432787
146,6.966811,73.0,88.828472
146,7.062247,74.0,94.59399
146,7.157683,75.0,94.333484
146,7.253119,76.0,100.120337
146,7.348554,77.0,91.797178
146,7.44399,78.0,78.210287
146,7.539426,79.0,60.706813
146,7.634862,80.0,44.054118
146,7.730297,81.0,32.838141
146,7.825733,82.0,27.871059
146,7.921169,83.0,27.688842
146,8.016605,84.0,42.397127
146,8.11204,85.0,70.132669
146,8.207476,86.0,93.325987
146,8.302912,87.0,90.330918
146,8.398348,88.0,66.571837
146,8.493784,89.0,40.705103
146,8.589219,90.0,24.160429
146,8.684655,91.0,21.819139
146,8.780091,92.0,21.005918
146,8.875527,93.0,20.636118
146,8.970962,94.0,20.832714
146,9.066398,95.0,20.971786
146,9.161834,96.0,20.849107
146,9.25727,97.0,20.704289
146,9.352705,98.0,20.427899
146,9.448141,99.0,20.168784
146,9.543577,100.0,20.09
147,0.0,0.0,5.28
147,0.095436,1.0,5.83059
147,0.190872,2.0,6.658203
147,0.286307,3.0,8.331062
147,0.381743,4.0,12.160372
147,0.477179,5.0,23.230457
147,0.572615,6.0,45.370986
147,0.66805,7.0,65.631137
147,0.763486,8.0,78.471344
147,0.858922,9.0,79.750824
147,0.954358,10.0,71.106745
147,1.049793,11.0,70.580045
147,1.145229,12.0,69.347055
147,1.240665,13.0,60.351001
147,1.336101,14.0,48.131938
147,1.431537,15.0,31.192132
147,1.526972,16.0,19.480154
147,1.622408,17.0,9.243388
147,1.717844,18.0,8.289844
147,1.81328,19.0,11.584132
147,1.908715,20.0,27.92775
147,2.004151,21.0,62.040573
147,2.099587,22.0,80.008393
147,2.195023,23.0,80.20829
147,2.290458,24.0,78.419166
147,2.385894,25.0,74.334711
147,2.48133,26.0,65.742489
147,2.576766,27.0,52.979696
147,2.672202,28.0,36.937891
147,2.767637,29.0,23.893228
147,2.863073,30.0,11.463568
147,2.958509,31.0,11.373597
147,3.053945,32.0,18.54068
147,3.14938,33.0,39.329578
147,3.244816,34.0,68.552553
147,3.340252,35.0,84.656949
147,3.435688,36.0,83.193387
147,3.531123,37.0,83.27728
147,3.626559,38.0,74.972082
147,3.721995,39.0,60.481251
147,3.817431,40.0,48.562715
147,3.912867,41.0,30.609063
147,4.008302,42.0,20.280645
147,4.103738,43.0,11.902104
147,4.199174,44.0,17.564295
147,4.29461,45.0,35.575187
147,4.390045,46.0,59.960433
147,4.485481,47.0,86.155138
147,4.580917,48.0,85.740253
147,4.676353,49.0,83.677834
147,4.771789,50.0,84.205
147,4.867224,51.0,70.405458
147,4.96266,52.0,55.230166
147,5.058096,53.0,41.38861
147,5.153532,54.0,25.943753
147,5.248967,55.0,20.253125
147,5.344403,56.0,14.960173
147,5.439839,57.0,22.619012
147,5.535275,58.0,39.955045
147,5.63071,59.0,73.76119
147,5.726146,60.0,86.232037
147,5.821582,61.0,81.108552
147,5.917018,62.0,81.148245
147,6.012454,63.0,80.425298
147,6.107889,64.0,70.016085
147,6.203325,65.0,54.816153
147,6.298761,66.0,35.739781
147,6.394197,67.0,24.028304
147,6.489632,68.0,19.708966
147,6.585068,69.0,16.402918
147,6.680504,70.0,23.166885
147,6.77594,71.0,42.46979
147,6.871375,72.0,71.848491
147,6.966811,73.0,85.604858
147,7.062247,74.0,82.803639
147,7.157683,75.0,85.604788
147,7.253119,76.0,86.64976
147,7.348554,77.0,74.821557
147,7.44399,78.0,60.650918
147,7.539426,79.0,46.213144
147,7.634862,80.0,29.759472
147,7.730297,81.0,20.259605
147,7.825733,82.0,17.578922
147,7.921169,83.0,21.649615
147,8.016605,84.0,28.629769
147,8.11204,85.0,55.942716
147,8.207476,86.0,76.68072
147,8.302912,87.0,70.190043
147,8.398348,88.0,46.74554
147,8.493784,89.0,28.647039
147,8.589219,90.0,15.77074
147,8.684655,91.0,11.56614
147,8.780091,92.0,10.263746
147,8.875527,93.0,9.043095
147,8.970962,94.0,9.37359
147,9.066398,95.0,9.532717
147,9.161834,96.0,10.34551
147,9.25727,97.0,10.761318
147,9.352705,98.0,11.700357
147,9.448141,99.0,12.345262
147,9.543577,100.0,12.33
148,0.0,0.0,7.98
148,0.095436,1.0,14.793823
148,0.190872,2.0,29.156171
148,0.286307,3.0,44.767052
148,0.381743,4.0,57.146808
148,0.477179,5.0,63.5365
148,0.572615,6.0,63.775849
148,0.66805,7.0,60.5955
148,0.763486,8.0,63.456527
148,0.858922,9.0,65.662303
148,0.954358,10.0,62.685763
148,1.049793,11.0,50.335573
148,1.145229,12.0,37.233513
148,1.240665,13.0,20.511118
148,1.336101,14.0,6.978875
148,1.431537,15.0,6.648352
148,1.526972,16.0,8.407539
148,1.622408,17.0,25.370942
148,1.717844,18.0,48.248208
148,1.81328,19.0,77.281552
148,1.908715,20.0,84.775588
148,2.004151,21.0,75.481921
148,2.099587,22.0,71.564816
148,2.195023,23.0,67.385845
148,2.290458,24.0,57.40399
148,2.385894,25.0,42.715
148,2.48133,26.0,28.213254
148,2.576766,27.0,16.449699
148,2.672202,28.0,12.30749
148,2.767637,29.0,13.391537
148,2.863073,30.0,31.92275
148,2.958509,31.0,62.265569
148,3.053945,32.0,82.616768
148,3.14938,33.0,90.165172
148,3.244816,34.0,78.943867
148,3.340252,35.0,78.8669
148,3.435688,36.0,74.785792
148,3.531123,37.0,61.039882
148,3.626559,38.0,44.612732
148,3.721995,39.0,31.306584
148,3.817431,40.0,20.33755
148,3.912867,41.0,14.339324
148,4.008302,42.0,18.303897
148,4.103738,43.0,34.150825
148,4.199174,44.0,65.733311
148,4.29461,45.0,82.156562
148,4.390045,46.0,82.311361
148,4.485481,47.0,82.75716
148,4.580917,48.0,84.908698
148,4.676353,49.0,76.383429
148,4.771789,50.0,63.481284
148,4.867224,51.0,48.180516
148,4.96266,52.0,31.991034
148,5.058096,53.0,20.975028
148,5.153532,54.0,14.861573
148,5.248967,55.0,23.432692
148,5.344403,56.0,43.432677
148,5.439839,57.0,70.854259
148,5.535275,58.0,88.359197
148,5.63071,59.0,81.558693
148,5.726146,60.0,83.340294
148,5.821582,61.0,84.80923
148,5.917018,62.0,75.335235
148,6.012454,63.0,60.455605
148,6.107889,64.0,45.387298
148,6.203325,65.0,34.2006
148,6.298761,66.0,26.303741
148,6.394197,67.0,22.7647
148,6.489632,68.0,28.89173
148,6.585068,69.0,50.860137
148,6.680504,70.0,72.946812
148,6.77594,71.0,84.000278
148,6.871375,72.0,81.242117
148,6.966811,73.0,82.026455
148,7.062247,74.0,79.678261
148,7.157683,75.0,71.265
148,7.253119,76.0,57.016067
148,7.348554,77.0,43.176512
148,7.44399,78.0,29.378283
148,7.539426,79.0,19.953271
148,7.634862,80.0,19.968364
148,7.730297,81.0,20.603536
148,7.825733,82.0,39.210752
148,7.921169,83.0,65.565871
148,8.016605,84.0,73.333593
148,8.11204,85.0,66.539
148,8.207476,86.0,40.352917
148,8.302912,87.0,23.50628
148,8.398348,88.0,18.105689
148,8.493784,89.0,12.151248
148,8.589219,90.0,10.395182
148,8.684655,91.0,10.84277
148,8.780091,92.0,11.674801
148,8.875527,93.0,11.5966
148,8.970962,94.0,12.879404
148,9.066398,95.0,16.697333
148,9.161834,96.0,21.764899
148,9.25727,97.0,25.828773
148,9.352705,98.0,28.625447
148,9.448141,99.0,33.017063
148,9.543577,100.0,36.44
149,0.0,0.0,0.24
149,0.095436,1.0,0.341267
149,0.190872,2.0,2.275692
149,0.286307,3.0,5.311717
149,0.381743,4.0,13.410753
149,0.477179,5.0,23.296643
149,0.572615,6.0,36.974125
149,0.66805,7.0,62.379438
149,0.763486,8.0,79.157764
149,0.858922,9.0,81.440935
149,0.954358,10.0,72.088295
149,1.049793,11.0,71.901959
149,1.145229,12.0,71.100314
149,1.240665,13.0,60.397469
149,1.336101,14.0,49.89659
149,1.431537,15.0,36.372333
149,1.526972,16.0,21.415615
149,1.622408,17.0,14.785547
149,1.717844,18.0,9.801495
149,1.81328,19.0,25.498456
149,1.908715,20.0,51.078667
149,2.004151,21.0,73.898269
149,2.099587,22.0,83.419666
149,2.195023,23.0,77.338394
149,2.290458,24.0,75.414324
149,2.385894,25.0,67.046
149,2.48133,26.0,55.981409
149,2.576766,27.0,44.640658
149,2.672202,28.0,28.396948
149,2.767637,29.0,20.467488
149,2.863073,30.0,11.620795
149,2.958509,31.0,13.707433
149,3.053945,32.0,26.790199
149,3.14938,33.0,64.60999
149,3.244816,34.0,82.972183
149,3.340252,35.0,75.834795
149,3.435688,36.0,76.331049
149,3.531123,37.0,74.355427
149,3.626559,38.0,63.876407
149,3.721995,39.0,46.142081
149,3.817431,40.0,27.771216
149,3.912867,41.0,19.289041
149,4.008302,42.0,11.404521
149,4.103738,43.0,11.509337
149,4.199174,44.0,20.968104
149,4.29461,45.0,42.949068
149,4.390045,46.0,72.075934
149,4.485481,47.0,86.65668
149,4.580917,48.0,77.496368
149,4.676353,49.0,78.449555
149,4.771789,50.0,73.956875
149,4.867224,51.0,62.594715
149,4.96266,52.0,47.728184
149,5.058096,53.0,32.456026
149,5.153532,54.0,19.613963
149,5.248967,55.0,14.615417
149,5.344403,56.0,13.822265
149,5.439839,57.0,16.042036
149,5.535275,58.0,35.868985
149,5.63071,59.0,65.48953
149,5.726146,60.0,84.456545
149,5.821582,61.0,88.729468
149,5.917018,62.0,78.99783
149,6.012454,63.0,80.757901
149,6.107889,64.0,75.795134
149,6.203325,65.0,59.40191
149,6.298761,66.0,43.860836
149,6.394197,67.0,30.12182
149,6.489632,68.0,15.707398
149,6.585068,69.0,12.075087
149,6.680504,70.0,15.168099
149,6.77594,71.0,19.800417
149,6.871375,72.0,38.456213
149,6.966811,73.0,66.114066
149,7.062247,74.0,83.469936
149,7.157683,75.0,82.902289
149,7.253119,76.0,81.036627
149,7.348554,77.0,79.777
149,7.44399,78.0,73.678588
149,7.539426,79.0,58.387843
149,7.634862,80.0,42.737333
149,7.730297,81.0,29.167106
149,7.825733,82.0,17.657847
149,7.921169,83.0,14.58495
149,8.016605,84.0,14.941601
