used_segment_index,detected_segment_index,source,start_time_seconds,end_time_seconds,duration_seconds,point_count,amplitude_degrees,peak_angle,status,rmse,mae,peak_angle_difference,amplitude_difference,outside_standard_band_percent
1,1,peak_centered,0.645,3.675,3.03,31,33.8,38.98,significant_deviation,40.039185,30.941309,-63.926075,-61.157585,56.435644
2,2,peak_centered,3.675,6.975,3.3,34,44.85,45.78,significant_deviation,35.039257,27.105114,-57.119775,-50.570251,54.455446
3,3,peak_centered,6.975,11.206,4.231,43,44.19,45.12,significant_deviation,38.349486,32.52294,-58.033871,-51.127472,76.237624
