time_seconds,percent,standard_angle,mean_angle,sd_angle,cycle_duration_seconds
0.0,0.0,7.586953,7.5525,3.572775,1.099791
0.010998,1.0,7.604191,7.586953,3.376153,1.099791
0.021996,2.0,7.619833,7.621407,3.222586,1.099791
0.032994,3.0,7.646448,7.655902,3.118441,1.099791
0.043992,4.0,7.664506,7.682401,3.053607,1.099791
0.05499,5.0,7.67354,7.685576,3.022483,1.099791
0.065987,6.0,7.678867,7.677244,3.016023,1.099791
0.076985,7.0,7.690991,7.666576,3.03064,1.099791
0.087983,8.0,7.724949,7.68254,3.04292,1.099791
0.098981,9.0,7.795631,7.74302,3.051358,1.099791
0.109979,10.0,7.917776,7.855367,3.049697,1.099791
0.120977,11.0,8.09952,8.030651,3.034465,1.099791
0.131975,12.0,8.342751,8.2773,3.004506,1.099791
0.142973,13.0,8.640338,8.591261,2.991117,1.099791
0.153971,14.0,8.983434,8.959178,2.979044,1.099791
0.164969,15.0,9.362079,9.343303,3.006427,1.099791
0.175967,16.0,9.763306,9.746129,3.041865,1.099791
0.186964,17.0,10.182871,10.170524,3.096882,1.099791
0.197962,18.0,10.635271,10.597398,3.17314,1.099791
0.20896,19.0,11.133485,11.056999,3.270518,1.099791
0.219958,20.0,11.686911,11.605304,3.38174,1.099791
0.230956,21.0,12.309763,12.237202,3.500009,1.099791
0.241954,22.0,13.003448,12.937653,3.631283,1.099791
0.252952,23.0,13.763056,13.711658,3.766779,1.099791
0.26395,24.0,14.579418,14.525422,3.958008,1.099791
0.274948,25.0,15.443244,15.403346,4.222332,1.099791
0.285946,26.0,16.35741,16.319012,4.54473,1.099791
0.296944,27.0,17.341871,17.256782,4.864593,1.099791
0.307941,28.0,18.405479,18.282488,5.197482,1.099791
0.318939,29.0,19.570429,19.447728,5.519047,1.099791
0.329937,30.0,20.844457,20.721383,5.839719,1.099791
0.340935,31.0,22.225857,22.143765,6.12774,1.099791
0.351933,32.0,23.707045,23.626923,6.459994,1.099791
0.362931,33.0,25.281901,25.189486,6.803949,1.099791
0.373929,34.0,26.954461,26.853666,7.162857,1.099791
0.384927,35.0,28.753746,28.595664,7.526677,1.099791
0.395925,36.0,30.699016,30.506568,7.829693,1.099791
0.406923,37.0,32.793018,32.623345,8.091659,1.099791
0.417921,38.0,35.031947,34.915836,8.241441,1.099791
0.428918,39.0,37.369649,37.323679,8.340537,1.099791
0.439916,40.0,39.780487,39.790305,8.392064,1.099791
0.450914,41.0,42.220829,42.195081,8.325335,1.099791
0.461912,42.0,44.661222,44.677534,8.110071,1.099791
0.47291,43.0,47.054016,47.117546,7.969469,1.099791
0.483908,44.0,49.379745,49.525642,7.817075,1.099791
0.494906,45.0,51.585802,51.754277,7.584987,1.099791
0.505904,46.0,53.615542,53.823726,7.211647,1.099791
0.516902,47.0,55.422889,55.707819,6.807594,1.099791
0.5279,48.0,57.016993,57.266247,6.342877,1.099791
0.538898,49.0,58.3664,58.562378,5.871135,1.099791
0.549895,50.0,59.460026,59.724793,5.524941,1.099791
0.560893,51.0,60.325363,60.570762,5.267783,1.099791
0.571891,52.0,60.960828,61.175948,5.175277,1.099791
0.582889,53.0,61.308142,61.592936,5.245873,1.099791
0.593887,54.0,61.363057,61.739703,5.495228,1.099791
0.604885,55.0,61.105934,61.461363,5.934006,1.099791
0.615883,56.0,60.514118,60.845334,6.616597,1.099791
0.626881,57.0,59.595414,59.890332,7.293995,1.099791
0.637879,58.0,58.406167,58.63386,7.92342,1.099791
0.648877,59.0,56.982786,57.146179,8.451821,1.099791
0.659875,60.0,55.362119,55.51513,8.900736,1.099791
0.670873,61.0,53.57152,53.728428,9.341243,1.099791
0.68187,62.0,51.61132,51.786998,9.699178,1.099791
0.692868,63.0,49.477876,49.680865,10.010841,1.099791
0.703866,64.0,47.177209,47.345178,10.257065,1.099791
0.714864,65.0,44.70585,44.847913,10.488891,1.099791
0.725862,66.0,42.084991,42.225089,10.571723,1.099791
0.73686,67.0,39.345647,39.430207,10.392818,1.099791
0.747858,68.0,36.53682,36.57657,10.056972,1.099791
0.758856,69.0,33.731632,33.648456,9.696235,1.099791
0.769854,70.0,31.034271,30.803781,9.492646,1.099791
0.780852,71.0,28.501488,28.199145,9.224032,1.099791
0.79185,72.0,26.179829,25.943406,8.793717,1.099791
0.802847,73.0,24.072257,23.912652,8.290889,1.099791
0.813845,74.0,22.138895,22.040162,7.748636,1.099791
0.824843,75.0,20.31727,20.265919,7.137725,1.099791
0.835841,76.0,18.566367,18.532337,6.563293,1.099791
0.846839,77.0,16.873857,16.83528,6.030579,1.099791
0.857837,78.0,15.249668,15.158139,5.567615,1.099791
0.868835,79.0,13.726293,13.577613,5.158114,1.099791
0.879833,80.0,12.367309,12.144972,4.808986,1.099791
0.890831,81.0,11.22999,10.915461,4.474282,1.099791
0.901829,82.0,10.330291,10.040362,4.019399,1.099791
0.912827,83.0,9.668941,9.471543,3.652702,1.099791
0.923824,84.0,9.229513,9.079116,3.355177,1.099791
0.934822,85.0,8.954654,8.838223,3.193066,1.099791
